distance_m,hood_angle_deg,flywheel_rps
6.4008,52.0,46.375
7.0318,51.0,53.387
7.5032,49.8,60.420
8.0003,49.0,65.313
8.5432,47.9,70.001
8.9654,47.0,77.977
9.6741,46.3,81.098
10.1234,45.6,85.000
